30 9
    -46.0000     -46.0000       0.0000     -46.0000     -46.0000       0.0000     -45.7098     -44.3697       0.0000
    -45.1307     -41.1088       0.0000     -45.4196     -42.7394       0.0000     -44.8418     -39.4782       0.0000
    -44.2676     -36.2165       0.0000     -44.5543     -37.8474       0.0000     -43.9809     -34.5856       0.0000
    -43.4099     -31.3233       0.0000     -43.6951     -32.9545       0.0000     -43.1247     -29.6921       0.0000
    -42.5559     -26.4294       0.0000     -42.8402     -28.0607       0.0000     -42.2716     -24.7980       0.0000
    -41.7027     -21.5353       0.0000     -41.9875     -23.1666       0.0000     -41.4180     -19.9041       0.0000
    -40.8449     -16.6421       0.0000     -41.1326     -18.2730       0.0000     -40.5571     -15.0112       0.0000
    -39.9718     -11.7516       0.0000     -40.2670     -13.3805       0.0000     -39.6767     -10.1227       0.0000
    -39.0611      -6.8680       0.0000     -39.3766      -8.4956       0.0000     -38.7457      -5.2403       0.0000
    -38.0577      -2.0027       0.0000     -38.4148      -3.6120       0.0000     -37.7005      -0.3934       0.0000
    -36.7852       2.7974       0.0000     -37.3171       1.1969       0.0000     -36.2532       4.3979       0.0000
    -34.4116       7.1039       0.0000     -35.5726       6.0085       0.0000     -33.2505       8.1993       0.0000
    -30.0561       9.4344       0.0000     -31.6089       8.7794       0.0000     -28.5033      10.0894       0.0000
    -25.5779      11.5819       0.0000     -27.0393      10.8191       0.0000     -24.1166      12.3447       0.0000
    -21.2097      13.9476       0.0000     -22.6579      13.1405       0.0000     -19.7616      14.7548       0.0000
    -16.8887      16.3988       0.0000     -18.3241      15.5731       0.0000     -15.4534      17.2245       0.0000
    -12.5816      18.8742       0.0000     -14.0203      18.0574       0.0000     -11.1429      19.6910       0.0000
     -8.2306      21.2533       0.0000      -9.6987      20.4917       0.0000      -6.7625      22.0149       0.0000
     -3.7760      23.4520       0.0000      -5.2706      22.7375       0.0000      -2.2815      24.1665       0.0000
      0.7157      25.5741       0.0000      -0.7842      24.8729       0.0000       2.2157      26.2753       0.0000
      5.2224      27.6645       0.0000       3.7184      26.9714       0.0000       6.7263      28.3576       0.0000
      9.7378      29.7358       0.0000       8.2316      29.0478       0.0000      11.2441      30.4237       0.0000
     14.2594      31.7937       0.0000      12.7513      31.1095       0.0000      15.7674      32.4779       0.0000
     18.7855      33.8416       0.0000      17.2761      33.1604       0.0000      20.2948      34.5228       0.0000
     23.3152      35.8815       0.0000      21.8048      35.2027       0.0000      24.8256      36.5603       0.0000
     27.8478      37.9148       0.0000      26.3365      37.2380       0.0000      29.3592      38.5916       0.0000
     32.3830      39.9426       0.0000      30.8709      39.2675       0.0000      33.8950      40.6178       0.0000
     36.9202      41.9657       0.0000      35.4075      41.2921       0.0000      38.4329      42.6394       0.0000
     41.4593      43.9847       0.0000      39.9459      43.3124       0.0000      42.9726      44.6570       0.0000
     46.0000      46.0000       0.0000      44.4863      45.3285       0.0000      46.0000      46.0000       0.0000
